Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,945.000000,965.500000,945.000000,950.650024,947.738098,3174302
2019-03-22,948.000000,948.000000,935.049988,939.000000,936.123779,1451306
2019-03-25,938.799988,945.000000,934.000000,940.750000,937.868408,971520
2019-03-26,945.000000,961.099976,935.950012,950.500000,947.588562,2125521
2019-03-27,938.900024,949.700012,931.000000,943.150024,940.261108,2185188
2019-03-28,943.450012,950.599976,937.099976,941.250000,938.366882,772947
2019-04-01,950.950012,954.000000,943.650024,944.950012,942.055542,748695
2019-04-02,948.900024,952.500000,945.099976,946.650024,943.750366,642877
2019-04-03,949.000000,949.500000,939.000000,943.799988,940.909058,727804
2019-04-04,943.000000,947.000000,940.650024,943.500000,940.609985,626426
2019-04-05,944.400024,962.750000,944.000000,952.950012,950.031067,1274179
2019-04-08,956.000000,964.500000,949.150024,957.299988,954.367676,1233339
2019-04-09,958.950012,969.500000,955.349976,962.200012,959.252686,1182333
2019-04-10,963.000000,975.000000,956.000000,970.250000,967.278015,2078842
2019-04-11,973.000000,979.000000,970.299988,976.650024,973.658447,1115408
2019-04-12,976.000000,979.000000,971.299988,975.650024,972.661499,456663
2019-04-15,977.000000,985.700012,972.250000,979.650024,976.649292,792811
2019-04-16,982.000000,987.849976,969.099976,972.450012,969.471313,672044
2019-04-18,979.000000,986.950012,961.000000,968.500000,965.533386,2285726
2019-04-22,967.000000,979.000000,966.000000,976.200012,973.209839,937745
2019-04-23,974.900024,982.000000,966.650024,975.400024,972.412292,477570
2019-04-24,976.000000,980.500000,975.500000,979.400024,976.400024,326956
2019-04-25,978.000000,995.000000,973.250000,989.400024,989.400024,617828
2019-04-26,984.400024,985.950012,974.000000,975.849976,975.849976,370028
2019-04-30,977.700012,990.000000,977.700012,981.250000,981.250000,688189
2019-05-02,985.000000,986.599976,977.150024,981.400024,981.400024,323640
2019-05-03,983.000000,983.849976,966.000000,970.200012,970.200012,476833
2019-05-06,969.000000,983.500000,962.400024,981.750000,981.750000,1604808
2019-05-07,982.799988,985.000000,975.000000,979.950012,979.950012,1242934
2019-05-08,981.000000,985.000000,971.049988,980.500000,980.500000,4301316
2019-05-09,979.599976,983.150024,976.099976,980.450012,980.450012,3787159
2019-05-10,980.400024,982.900024,973.000000,975.349976,975.349976,215170
2019-05-13,973.400024,983.000000,970.299988,979.099976,979.099976,485941
2019-05-14,976.000000,978.000000,969.299988,975.200012,975.200012,231590
2019-05-15,974.000000,982.000000,972.250000,977.049988,977.049988,216037
